base,ligand,solvent,concentration,temperature,yield,cost
KOPiv,PCy3 HBF4,DMAc,0.057,105,10.98,0.041224668
KOPiv,PPh3,DMAc,0.057,105,63.61,0.035508473
KOPiv,X-Phos,DMAc,0.057,105,61.0,0.043698305
CsOAc,BrettPhos,DMAc,0.057,105,1.85,0.201393124
CsOAc,PPhtBu2,DMAc,0.057,105,0.0,0.098828988
CsOAc,tBPh-CPhos,DMAc,0.057,105,42.43,0.32466259
CsOAc,PCy3 HBF4,DMAc,0.057,105,15.26,0.087831752
CsOAc,PPh3,DMAc,0.057,105,53.46,0.082073958
CsOAc,X-Phos,DMAc,0.057,105,89.17,0.090374259
CsOPiv,BrettPhos,DMAc,0.057,105,0.0,0.242261057
CsOPiv,PPhtBu2,DMAc,0.057,105,0.0,0.139702254
CsOPiv,tBPh-CPhos,DMAc,0.057,105,7.33,0.36543467
CsOPiv,PCy3 HBF4,DMAc,0.057,105,11.52,0.128694237
CsOPiv,PPh3,DMAc,0.057,105,59.68,0.122965155
CsOPiv,X-Phos,DMAc,0.057,105,30.21,0.1310775559999999
KOAc,BrettPhos,BuCN,0.057,105,6.0,0.186485974
KOAc,PPhtBu2,BuCN,0.057,105,0.0,0.083881103
KOAc,tBPh-CPhos,BuCN,0.057,105,6.57,0.309642833
KOAc,PCy3 HBF4,BuCN,0.057,105,0.0,0.072839876
KOAc,PPh3,BuCN,0.057,105,6.77,0.0670239409999999
KOAc,X-Phos,BuCN,0.057,105,12.54,0.0752656
KOPiv,BrettPhos,BuCN,0.057,105,29.14,0.185569348
KOPiv,PPhtBu2,BuCN,0.057,105,0.0,0.0827868029999999
KOPiv,tBPh-CPhos,BuCN,0.057,105,5.77,0.308542391
KOPiv,PCy3 HBF4,BuCN,0.057,105,0.85,0.071752102
KOPiv,PPh3,BuCN,0.057,105,6.78,0.065929718
KOPiv,X-Phos,BuCN,0.057,105,31.13,0.074314038
CsOAc,BrettPhos,BuCN,0.057,105,45.11,0.232286715
CsOAc,PPhtBu2,BuCN,0.057,105,0.0,0.129381549
CsOAc,tBPh-CPhos,BuCN,0.057,105,5.6,0.355135832
CsOAc,PCy3 HBF4,BuCN,0.057,105,1.13,0.118348998
CsOAc,PPh3,BuCN,0.057,105,9.16,0.112542738
CsOAc,X-Phos,BuCN,0.057,105,72.89,0.121229425
CsOPiv,BrettPhos,BuCN,0.057,105,39.86,0.27311967
CsOPiv,PPhtBu2,BuCN,0.057,105,0.0,0.170254815
CsOPiv,tBPh-CPhos,BuCN,0.057,105,5.06,0.396004952
CsOPiv,PCy3 HBF4,BuCN,0.057,105,1.95,0.15922856
CsOPiv,PPh3,BuCN,0.057,105,6.51,0.153395657
CsOPiv,X-Phos,BuCN,0.057,105,36.65,0.161824434
KOAc,BrettPhos,BuOAc,0.057,105,16.39,0.1761264139999999
KOAc,PPhtBu2,BuOAc,0.057,105,0.0,0.073475425
KOAc,tBPh-CPhos,BuOAc,0.057,105,2.85,0.29920274
KOAc,PCy3 HBF4,BuOAc,0.057,105,0.0,0.062434198
KOAc,PPh3,BuOAc,0.057,105,1.94,0.056577194
KOAc,X-Phos,BuOAc,0.057,105,41.69,0.0649981259999999
KOPiv,BrettPhos,BuOAc,0.057,105,48.88,0.175214857
KOPiv,PPhtBu2,BuOAc,0.057,105,0.0,0.072381125
KOPiv,tBPh-CPhos,BuOAc,0.057,105,11.64,0.29815788
KOPiv,PCy3 HBF4,BuOAc,0.057,105,0.0,0.061339898
KOPiv,PPh3,BuOAc,0.057,105,0.98,0.055477494
KOPiv,X-Phos,BuOAc,0.057,105,69.26,0.0640588959999999
CsOAc,BrettPhos,BuOAc,0.057,105,27.71,0.22169053
CsOAc,PPhtBu2,BuOAc,0.057,105,0.0,0.118975871
CsOAc,tBPh-CPhos,BuOAc,0.057,105,10.39,0.344745595
CsOAc,PCy3 HBF4,BuOAc,0.057,105,0.0,0.107934644
CsOAc,PPh3,BuOAc,0.057,105,2.72,0.102082027
CsOAc,X-Phos,BuOAc,0.057,105,80.77,0.11071838
CsOPiv,BrettPhos,BuOAc,0.057,105,49.23,0.262684837
CsOPiv,PPhtBu2,BuOAc,0.057,105,0.0,0.159849137
CsOPiv,tBPh-CPhos,BuOAc,0.057,105,11.3,0.38562398
CsOPiv,PCy3 HBF4,BuOAc,0.057,105,0.0,0.14880791
CsOPiv,PPh3,BuOAc,0.057,105,0.58,0.142943256
CsOPiv,X-Phos,BuOAc,0.057,105,5.4,0.151167723
KOAc,BrettPhos,p-Xylene,0.057,105,13.19,0.159902783
KOAc,PPhtBu2,p-Xylene,0.057,105,0.0,0.05729584
KOAc,tBPh-CPhos,p-Xylene,0.057,105,6.45,0.283030666
KOAc,PCy3 HBF4,p-Xylene,0.057,105,0.0,0.046254613
KOAc,PPh3,p-Xylene,0.057,105,1.16,0.040390931
KOAc,X-Phos,p-Xylene,0.057,105,13.41,0.048632996
KOPiv,BrettPhos,p-Xylene,0.057,105,29.85,0.158869288
KOPiv,PPhtBu2,p-Xylene,0.057,105,0.0,0.056201541
KOPiv,tBPh-CPhos,p-Xylene,0.057,105,21.43,0.28199104
KOPiv,PCy3 HBF4,p-Xylene,0.057,105,0.0,0.045160314
KOPiv,PPh3,p-Xylene,0.057,105,0.48,0.039294149
KOPiv,X-Phos,p-Xylene,0.057,105,26.12,0.047585085
CsOAc,BrettPhos,p-Xylene,0.057,105,36.14,0.205486991
CsOAc,PPhtBu2,p-Xylene,0.057,105,0.0,0.102796287
CsOAc,tBPh-CPhos,p-Xylene,0.057,105,14.43,0.328560237
CsOAc,PCy3 HBF4,p-Xylene,0.057,105,0.0,0.09175506
CsOAc,PPh3,p-Xylene,0.057,105,3.18,0.08589875
CsOAc,X-Phos,p-Xylene,0.057,105,54.41,0.094283082
CsOPiv,BrettPhos,p-Xylene,0.057,105,23.53,0.246314234
CsOPiv,PPhtBu2,p-Xylene,0.057,105,0.0,0.143669553
CsOPiv,tBPh-CPhos,p-Xylene,0.057,105,23.1,0.3694651470000001
CsOPiv,PCy3 HBF4,p-Xylene,0.057,105,0.0,0.132628326
CsOPiv,PPh3,p-Xylene,0.057,105,0.44,0.126762015
CsOPiv,X-Phos,p-Xylene,0.057,105,39.81,0.135103062
KOAc,BrettPhos,DMAc,0.057,120,3.14,0.155896396
KOAc,PPhtBu2,DMAc,0.057,120,2.13,0.053334682
KOAc,tBPh-CPhos,DMAc,0.057,120,88.89,0.279296077
KOAc,PCy3 HBF4,DMAc,0.057,120,18.38,0.0423403
KOAc,PPh3,DMAc,0.057,120,45.85,0.036551574
KOAc,X-Phos,DMAc,0.057,120,77.58,0.044840401
KOPiv,BrettPhos,DMAc,0.057,120,0.0,0.154793045
KOPiv,PPhtBu2,DMAc,0.057,120,2.82,0.052242372
KOPiv,tBPh-CPhos,DMAc,0.057,120,55.96,0.278106848
KOPiv,PCy3 HBF4,DMAc,0.057,120,29.51,0.041278086
KOPiv,PPh3,DMAc,0.057,120,91.27,0.03558821
KOPiv,X-Phos,DMAc,0.057,120,62.07,0.043701389
CsOAc,BrettPhos,DMAc,0.057,120,1.68,0.201392634
CsOAc,PPhtBu2,DMAc,0.057,120,1.62,0.098833658
CsOAc,tBPh-CPhos,DMAc,0.057,120,66.84,0.324732958
CsOAc,PCy3 HBF4,DMAc,0.057,120,35.61,0.087890417
CsOAc,PPh3,DMAc,0.057,120,89.71,0.082178459
CsOAc,X-Phos,DMAc,0.057,120,88.41,0.090372068
CsOPiv,BrettPhos,DMAc,0.057,120,0.0,0.242261057
CsOPiv,PPhtBu2,DMAc,0.057,120,0.0,0.139702254
CsOPiv,tBPh-CPhos,DMAc,0.057,120,14.24,0.36545459
CsOPiv,PCy3 HBF4,DMAc,0.057,120,26.22,0.128736614
CsOPiv,PPh3,DMAc,0.057,120,84.64,0.123037109
CsOPiv,X-Phos,DMAc,0.057,120,38.48,0.1311013969999999
KOAc,BrettPhos,BuCN,0.057,120,17.0,0.186570434
KOAc,PPhtBu2,BuCN,0.057,120,0.0,0.083881103
KOAc,tBPh-CPhos,BuCN,0.057,120,8.52,0.309657806
KOAc,PCy3 HBF4,BuCN,0.057,120,0.89,0.072846709
KOAc,PPh3,BuCN,0.057,120,11.5,0.067060259
KOAc,X-Phos,BuCN,0.057,120,43.22,0.075501167
KOPiv,BrettPhos,BuCN,0.057,120,50.55,0.185733738
KOPiv,PPhtBu2,BuCN,0.057,120,0.0,0.0827868029999999
KOPiv,tBPh-CPhos,BuCN,0.057,120,6.2,0.308545693
KOPiv,PCy3 HBF4,BuCN,0.057,120,3.25,0.07177053
KOPiv,PPh3,BuCN,0.057,120,12.19,0.065971257
KOPiv,X-Phos,BuCN,0.057,120,27.8,0.07428847
CsOAc,BrettPhos,BuCN,0.057,120,54.26,0.23235697
CsOAc,PPhtBu2,BuCN,0.057,120,0.0,0.129381549
CsOAc,tBPh-CPhos,BuCN,0.057,120,7.42,0.355149806
CsOAc,PCy3 HBF4,BuCN,0.057,120,3.04,0.118363664
CsOAc,PPh3,BuCN,0.057,120,11.19,0.112558325
CsOAc,X-Phos,BuCN,0.057,120,72.21,0.121224204
CsOPiv,BrettPhos,BuCN,0.057,120,42.63,0.273140939
CsOPiv,PPhtBu2,BuCN,0.057,120,0.0,0.170254815
CsOPiv,tBPh-CPhos,BuCN,0.057,120,5.24,0.396006334
CsOPiv,PCy3 HBF4,BuCN,0.057,120,4.78,0.15925029
CsOPiv,PPh3,BuCN,0.057,120,9.46,0.153418308
CsOPiv,X-Phos,BuCN,0.057,120,31.51,0.161784968
KOAc,BrettPhos,BuOAc,0.057,120,27.16,0.176186991
KOAc,PPhtBu2,BuOAc,0.057,120,0.0,0.073475425
KOAc,tBPh-CPhos,BuOAc,0.057,120,6.22,0.299221695
KOAc,PCy3 HBF4,BuOAc,0.057,120,0.0,0.062434198
KOAc,PPh3,BuOAc,0.057,120,5.67,0.056598173
KOAc,X-Phos,BuOAc,0.057,120,61.86,0.065111574
KOPiv,BrettPhos,BuOAc,0.057,120,66.9,0.175316211
KOPiv,PPhtBu2,BuOAc,0.057,120,0.0,0.072381125
KOPiv,tBPh-CPhos,BuOAc,0.057,120,3.88,0.298114234
KOPiv,PCy3 HBF4,BuOAc,0.057,120,0.0,0.061339898
KOPiv,PPh3,BuOAc,0.057,120,3.07,0.05548925
KOPiv,X-Phos,BuOAc,0.057,120,21.74,0.063791616
CsOAc,BrettPhos,BuOAc,0.057,120,30.02,0.221703523
CsOAc,PPhtBu2,BuOAc,0.057,120,0.0,0.118975871
CsOAc,tBPh-CPhos,BuOAc,0.057,120,4.85,0.344714435
CsOAc,PCy3 HBF4,BuOAc,0.057,120,0.0,0.107934644
CsOAc,PPh3,BuOAc,0.057,120,3.51,0.10208647
CsOAc,X-Phos,BuOAc,0.057,120,7.02,0.110303569
CsOPiv,BrettPhos,BuOAc,0.057,120,33.65,0.262597206
CsOPiv,PPhtBu2,BuOAc,0.057,120,0.0,0.159849137
CsOPiv,tBPh-CPhos,BuOAc,0.057,120,8.24,0.385606769
CsOPiv,PCy3 HBF4,BuOAc,0.057,120,0.0,0.14880791
CsOPiv,PPh3,BuOAc,0.057,120,2.35,0.142953212
CsOPiv,X-Phos,BuOAc,0.057,120,22.87,0.151265984
KOAc,BrettPhos,p-Xylene,0.057,120,8.69,0.159886359
KOAc,PPhtBu2,p-Xylene,0.057,120,0.0,0.05729584
KOAc,tBPh-CPhos,p-Xylene,0.057,120,0.15,0.283007673
KOAc,PCy3 HBF4,p-Xylene,0.057,120,0.0,0.046254613
KOAc,PPh3,p-Xylene,0.057,120,2.59,0.04039615
KOAc,X-Phos,p-Xylene,0.057,120,45.62,0.048750555
KOPiv,BrettPhos,p-Xylene,0.057,120,43.05,0.158917465
KOPiv,PPhtBu2,p-Xylene,0.057,120,0.0,0.056201541
KOPiv,tBPh-CPhos,p-Xylene,0.057,120,18.22,0.281979324
KOPiv,PCy3 HBF4,p-Xylene,0.057,120,0.0,0.045160314
KOPiv,PPh3,p-Xylene,0.057,120,2.44,0.039301303
KOPiv,X-Phos,p-Xylene,0.057,120,26.97,0.047588187
CsOAc,BrettPhos,p-Xylene,0.057,120,38.44,0.205495385
CsOAc,PPhtBu2,p-Xylene,0.057,120,0.0,0.102796287
CsOAc,tBPh-CPhos,p-Xylene,0.057,120,15.98,0.328565895
CsOAc,PCy3 HBF4,p-Xylene,0.057,120,0.0,0.09175506
CsOAc,PPh3,p-Xylene,0.057,120,6.18,0.085909699
CsOAc,X-Phos,p-Xylene,0.057,120,54.52,0.094283484
CsOPiv,BrettPhos,p-Xylene,0.057,120,26.52,0.246325146
CsOPiv,PPhtBu2,p-Xylene,0.057,120,0.0,0.143669553
CsOPiv,tBPh-CPhos,p-Xylene,0.057,120,20.07,0.369454088
CsOPiv,PCy3 HBF4,p-Xylene,0.057,120,0.0,0.132628326
CsOPiv,PPh3,p-Xylene,0.057,120,1.76,0.126766833
CsOPiv,X-Phos,p-Xylene,0.057,120,39.32,0.135101274
KOAc,BrettPhos,DMAc,0.153,90,5.75,0.141125799
KOAc,PPhtBu2,DMAc,0.153,90,0.0,0.03855042
KOAc,tBPh-CPhos,DMAc,0.153,90,37.38,0.264369463
KOAc,PCy3 HBF4,DMAc,0.153,90,0.41,0.027510375
KOAc,PPh3,DMAc,0.153,90,11.68,0.021674948
KOAc,X-Phos,DMAc,0.153,90,38.79,0.029950456
KOPiv,BrettPhos,DMAc,0.153,90,0.66,0.1400168259999999
KOPiv,PPhtBu2,DMAc,0.153,90,0.0,0.03745612
KOPiv,tBPh-CPhos,DMAc,0.153,90,8.5,0.263191909
KOPiv,PCy3 HBF4,DMAc,0.153,90,2.52,0.026422158
KOPiv,PPh3,DMAc,0.153,90,38.79,0.0206588
KOPiv,X-Phos,DMAc,0.153,90,60.68,0.02891926
CsOAc,BrettPhos,DMAc,0.153,90,6.26,0.186627715
CsOAc,PPhtBu2,DMAc,0.153,90,0.0,0.084050866
CsOAc,tBPh-CPhos,DMAc,0.153,90,12.44,0.309798013
CsOAc,PCy3 HBF4,DMAc,0.153,90,2.53,0.0730169329999999
CsOAc,PPh3,DMAc,0.153,90,31.85,0.06723354
CsOAc,X-Phos,DMAc,0.153,90,86.14,0.075587402
CsOPiv,BrettPhos,DMAc,0.153,90,0.0,0.227482935
CsOPiv,PPhtBu2,DMAc,0.153,90,0.0,0.124924132
CsOPiv,tBPh-CPhos,DMAc,0.153,90,3.55,0.350645651
CsOPiv,PCy3 HBF4,DMAc,0.153,90,2.53,0.113890199
CsOPiv,PPh3,DMAc,0.153,90,28.53,0.108097235
CsOPiv,X-Phos,DMAc,0.153,90,27.79,0.116292458
KOAc,BrettPhos,BuCN,0.153,90,12.07,0.153178608
KOAc,PPhtBu2,BuCN,0.153,90,0.0,0.05052713
KOAc,tBPh-CPhos,BuCN,0.153,90,4.97,0.276276575
KOAc,PCy3 HBF4,BuCN,0.153,90,0.0,0.039485903
KOAc,PPh3,BuCN,0.153,90,2.66,0.03363841
KOAc,X-Phos,BuCN,0.153,90,32.5,0.042064884
KOPiv,BrettPhos,BuCN,0.153,90,13.31,0.152093829
KOPiv,PPhtBu2,BuCN,0.153,90,0.0,0.04943283
KOPiv,tBPh-CPhos,BuCN,0.153,90,5.65,0.275187497
KOPiv,PCy3 HBF4,BuCN,0.153,90,0.0,0.038391603
KOPiv,PPh3,BuCN,0.153,90,0.85,0.0325302129999999
KOPiv,X-Phos,BuCN,0.153,90,33.95,0.040981717
CsOAc,BrettPhos,BuCN,0.153,90,28.02,0.198801521
CsOAc,PPhtBu2,BuCN,0.153,90,0.0,0.096027576
CsOAc,tBPh-CPhos,BuCN,0.153,90,0.0,0.321738861
CsOAc,PCy3 HBF4,BuCN,0.153,90,0.0,0.084986349
CsOAc,PPh3,BuCN,0.153,90,0.0,0.079118433
CsOAc,X-Phos,BuCN,0.153,90,0.0,0.087315789
CsOPiv,BrettPhos,BuCN,0.153,90,54.55,0.239878489
CsOPiv,PPhtBu2,BuCN,0.153,90,0.0,0.136900842
CsOPiv,tBPh-CPhos,BuCN,0.153,90,8.95,0.362680847
CsOPiv,PCy3 HBF4,BuCN,0.153,90,0.0,0.125859615
CsOPiv,PPh3,BuCN,0.153,90,2.53,0.120011125
CsOPiv,X-Phos,BuCN,0.153,90,75.4,0.12876799
KOAc,BrettPhos,BuOAc,0.153,90,15.36,0.1490411569999999
KOAc,PPhtBu2,BuOAc,0.153,90,0.0,0.046395962
KOAc,tBPh-CPhos,BuOAc,0.153,90,3.68,0.272127945
KOAc,PCy3 HBF4,BuOAc,0.153,90,0.0,0.035354735
KOAc,PPh3,BuOAc,0.153,90,1.39,0.029494637
KOAc,X-Phos,BuOAc,0.153,90,25.35,0.037826757
KOPiv,BrettPhos,BuOAc,0.153,90,42.48,0.148099396
KOPiv,PPhtBu2,BuOAc,0.153,90,0.0,0.045301662
KOPiv,tBPh-CPhos,BuOAc,0.153,90,11.24,0.271076167
KOPiv,PCy3 HBF4,BuOAc,0.153,90,0.0,0.034260435
KOPiv,PPh3,BuOAc,0.153,90,2.58,0.02840703
KOPiv,X-Phos,BuOAc,0.153,90,32.68,0.036773686
CsOAc,BrettPhos,BuOAc,0.153,90,17.16,0.194551728
CsOAc,PPhtBu2,BuOAc,0.153,90,0.0,0.091896408
CsOAc,tBPh-CPhos,BuOAc,0.153,90,7.74,0.317651227
CsOAc,PCy3 HBF4,BuOAc,0.153,90,0.0,0.080855181
CsOAc,PPh3,BuOAc,0.153,90,0.81,0.074991821
CsOAc,X-Phos,BuOAc,0.153,90,82.21,0.0836470159999999
CsOPiv,BrettPhos,BuOAc,0.153,90,21.5,0.235449405
CsOPiv,PPhtBu2,BuOAc,0.153,90,0.0,0.132769674
CsOPiv,tBPh-CPhos,BuOAc,0.153,90,8.72,0.358530005
CsOPiv,PCy3 HBF4,BuOAc,0.153,90,0.0,0.121728447
CsOPiv,PPh3,BuOAc,0.153,90,0.6,0.115863905
CsOPiv,X-Phos,BuOAc,0.153,90,46.57,0.124319823
KOAc,BrettPhos,p-Xylene,0.153,90,13.85,0.142732849
KOAc,PPhtBu2,p-Xylene,0.153,90,0.0,0.040123498
KOAc,tBPh-CPhos,p-Xylene,0.153,90,9.79,0.265870514
KOAc,PCy3 HBF4,p-Xylene,0.153,90,0.0,0.029082271
KOAc,PPh3,p-Xylene,0.153,90,0.78,0.023217201
KOAc,X-Phos,p-Xylene,0.153,90,28.36,0.031515218
KOPiv,BrettPhos,p-Xylene,0.153,90,38.45,0.141728333
KOPiv,PPhtBu2,p-Xylene,0.153,90,0.0,0.039029198
KOPiv,tBPh-CPhos,p-Xylene,0.153,90,24.02,0.26482815
KOPiv,PCy3 HBF4,p-Xylene,0.153,90,0.0,0.027987971
KOPiv,PPh3,p-Xylene,0.153,90,1.58,0.022125821
KOPiv,X-Phos,p-Xylene,0.153,90,31.55,0.03043256
CsOAc,BrettPhos,p-Xylene,0.153,90,41.03,0.188332496
CsOAc,PPhtBu2,p-Xylene,0.153,90,0.0,0.085623944
CsOAc,tBPh-CPhos,p-Xylene,0.153,90,17.53,0.311399209
CsOAc,PCy3 HBF4,p-Xylene,0.153,90,0.0,0.074582717
CsOAc,PPh3,p-Xylene,0.153,90,5.38,0.068734436
CsOAc,X-Phos,p-Xylene,0.153,90,66.03,0.07715315
CsOPiv,BrettPhos,p-Xylene,0.153,90,23.57,0.229142037
CsOPiv,PPhtBu2,p-Xylene,0.153,90,0.0,0.12649721
CsOPiv,tBPh-CPhos,p-Xylene,0.153,90,25.67,0.352302184
CsOPiv,PCy3 HBF4,p-Xylene,0.153,90,0.0,0.115455983
CsOPiv,PPh3,p-Xylene,0.153,90,0.25,0.109588979
CsOPiv,X-Phos,p-Xylene,0.153,90,44.28,0.117947034
KOAc,BrettPhos,DMAc,0.153,105,5.49,0.141125049
KOAc,PPhtBu2,DMAc,0.153,105,0.0,0.03855042
KOAc,tBPh-CPhos,DMAc,0.153,105,57.33,0.264426975
KOAc,PCy3 HBF4,DMAc,0.153,105,5.25,0.027524328
KOAc,PPh3,DMAc,0.153,105,30.44,0.021729029
KOAc,X-Phos,DMAc,0.153,105,48.86,0.029979486
KOPiv,BrettPhos,DMAc,0.153,105,0.74,0.140017056
KOPiv,PPhtBu2,DMAc,0.153,105,0.0,0.03745612
KOPiv,tBPh-CPhos,DMAc,0.153,105,24.8,0.263238898
KOPiv,PCy3 HBF4,DMAc,0.153,105,12.78,0.026451735
KOPiv,PPh3,DMAc,0.153,105,71.11,0.020751972
KOPiv,X-Phos,DMAc,0.153,105,82.28,0.028981528
CsOAc,BrettPhos,DMAc,0.153,105,7.34,0.186630829
CsOAc,PPhtBu2,DMAc,0.153,105,0.0,0.084050866
CsOAc,tBPh-CPhos,DMAc,0.153,105,20.73,0.309821911
CsOAc,PCy3 HBF4,DMAc,0.153,105,10.25,0.073039188
CsOAc,PPh3,DMAc,0.153,105,66.27,0.067332765
CsOAc,X-Phos,DMAc,0.153,105,84.48,0.075582617
CsOPiv,BrettPhos,DMAc,0.153,105,0.0,0.227482935
CsOPiv,PPhtBu2,DMAc,0.153,105,0.0,0.124924132
CsOPiv,tBPh-CPhos,DMAc,0.153,105,6.54,0.350654271
CsOPiv,PCy3 HBF4,DMAc,0.153,105,9.07,0.113909052
CsOPiv,PPh3,DMAc,0.153,105,45.28,0.108145522
CsOPiv,X-Phos,DMAc,0.153,105,40.06,0.11632783
KOAc,BrettPhos,BuCN,0.153,105,22.3,0.153257156
KOAc,PPhtBu2,BuCN,0.153,105,0.0,0.05052713
KOAc,tBPh-CPhos,BuCN,0.153,105,6.88,0.276291241
KOAc,PCy3 HBF4,BuCN,0.153,105,0.0,0.039485903
KOAc,PPh3,BuCN,0.153,105,6.67,0.0336692
KOAc,X-Phos,BuCN,0.153,105,75.39,0.042394201
KOPiv,BrettPhos,BuCN,0.153,105,58.95,0.152444261
KOPiv,PPhtBu2,BuCN,0.153,105,0.0,0.04943283
KOPiv,tBPh-CPhos,BuCN,0.153,105,10.05,0.275221281
KOPiv,PCy3 HBF4,BuCN,0.153,105,1.37,0.038402122
KOPiv,PPh3,BuCN,0.153,105,7.88,0.032584191
KOPiv,X-Phos,BuCN,0.153,105,73.33,0.041284084
CsOAc,BrettPhos,BuCN,0.153,105,73.08,0.1991475
CsOAc,PPhtBu2,BuCN,0.153,105,0.0,0.096027576
CsOAc,tBPh-CPhos,BuCN,0.153,105,6.4,0.321788001
CsOAc,PCy3 HBF4,BuCN,0.153,105,2.15,0.0850028569999999
CsOAc,PPh3,BuCN,0.153,105,5.55,0.079161047
CsOAc,X-Phos,BuCN,0.153,105,84.62,0.087965517
CsOPiv,BrettPhos,BuCN,0.153,105,56.5,0.239893462
CsOPiv,PPhtBu2,BuCN,0.153,105,0.0,0.136900842
CsOPiv,tBPh-CPhos,BuCN,0.153,105,8.84,0.3626800020000001
CsOPiv,PCy3 HBF4,BuCN,0.153,105,2.01,0.125875048
CsOPiv,PPh3,BuCN,0.153,105,4.1,0.120023179
CsOPiv,X-Phos,BuCN,0.153,105,79.76,0.128801467
KOAc,BrettPhos,BuOAc,0.153,105,17.26,0.149051844
KOAc,PPhtBu2,BuOAc,0.153,105,0.0,0.046395962
KOAc,tBPh-CPhos,BuOAc,0.153,105,0.0,0.272107247
KOAc,PCy3 HBF4,BuOAc,0.153,105,0.0,0.035354735
KOAc,PPh3,BuOAc,0.153,105,4.51,0.029512185
KOAc,X-Phos,BuOAc,0.153,105,53.49,0.037985033
KOPiv,BrettPhos,BuOAc,0.153,105,33.97,0.148051531
KOPiv,PPhtBu2,BuOAc,0.153,105,0.0,0.045301662
KOPiv,tBPh-CPhos,BuOAc,0.153,105,0.0,0.271012947
KOPiv,PCy3 HBF4,BuOAc,0.153,105,0.0,0.034260435
KOPiv,PPh3,BuOAc,0.153,105,2.95,0.028409111
KOPiv,X-Phos,BuOAc,0.153,105,44.48,0.036840056
CsOAc,BrettPhos,BuOAc,0.153,105,20.35,0.19456967
CsOAc,PPhtBu2,BuOAc,0.153,105,0.0,0.091896408
CsOAc,tBPh-CPhos,BuOAc,0.153,105,0.0,0.317607693
CsOAc,PCy3 HBF4,BuOAc,0.153,105,0.0,0.080855181
CsOAc,PPh3,BuOAc,0.153,105,4.2,0.075010888
CsOAc,X-Phos,BuOAc,0.153,105,81.66,0.083643923
CsOPiv,BrettPhos,BuOAc,0.153,105,24.56,0.235466616
CsOPiv,PPhtBu2,BuOAc,0.153,105,0.0,0.132769674
CsOPiv,tBPh-CPhos,BuOAc,0.153,105,0.0,0.358480959
CsOPiv,PCy3 HBF4,BuOAc,0.153,105,0.0,0.121728447
CsOPiv,PPh3,BuOAc,0.153,105,1.94,0.115871442
CsOPiv,X-Phos,BuOAc,0.153,105,5.53,0.124088991
KOAc,BrettPhos,p-Xylene,0.153,105,16.87,0.142743871
KOAc,PPhtBu2,p-Xylene,0.153,105,0.0,0.040123498
KOAc,tBPh-CPhos,p-Xylene,0.153,105,8.3,0.265865076
KOAc,PCy3 HBF4,p-Xylene,0.153,105,0.0,0.029082271
KOAc,PPh3,p-Xylene,0.153,105,3.57,0.023227384
KOAc,X-Phos,p-Xylene,0.153,105,39.32,0.031555219
KOPiv,BrettPhos,p-Xylene,0.153,105,40.76,0.141736764
KOPiv,PPhtBu2,p-Xylene,0.153,105,0.0,0.039029198
KOPiv,tBPh-CPhos,p-Xylene,0.153,105,47.33,0.264913225
KOPiv,PCy3 HBF4,p-Xylene,0.153,105,0.0,0.027987971
KOPiv,PPh3,p-Xylene,0.153,105,6.42,0.022143486
KOPiv,X-Phos,p-Xylene,0.153,105,34.45,0.030443145
CsOAc,BrettPhos,p-Xylene,0.153,105,44.16,0.188343919
CsOAc,PPhtBu2,p-Xylene,0.153,105,0.0,0.085623944
CsOAc,tBPh-CPhos,p-Xylene,0.153,105,20.31,0.311409355
CsOAc,PCy3 HBF4,p-Xylene,0.153,105,0.28,0.074583739
CsOAc,PPh3,p-Xylene,0.153,105,13.71,0.068764839
CsOAc,X-Phos,p-Xylene,0.153,105,76.63,0.077191837
CsOPiv,BrettPhos,p-Xylene,0.153,105,24.76,0.22914638
CsOPiv,PPhtBu2,p-Xylene,0.153,105,0.0,0.12649721
CsOPiv,tBPh-CPhos,p-Xylene,0.153,105,29.56,0.352316381
CsOPiv,PCy3 HBF4,p-Xylene,0.153,105,0.0,0.115455983
CsOPiv,PPh3,p-Xylene,0.153,105,2.11,0.109595768
CsOPiv,X-Phos,p-Xylene,0.153,105,73.93,0.118055249
KOAc,BrettPhos,DMAc,0.153,120,5.95,0.141126375
KOAc,PPhtBu2,DMAc,0.153,120,4.3,0.038562816
KOAc,tBPh-CPhos,DMAc,0.153,120,76.59,0.264482497
KOAc,PCy3 HBF4,DMAc,0.153,120,11.91,0.027543527
KOAc,PPh3,DMAc,0.153,120,51.83,0.021790691
KOAc,X-Phos,DMAc,0.153,120,84.67,0.030082718
KOPiv,BrettPhos,DMAc,0.153,120,0.89,0.140017489
KOPiv,PPhtBu2,DMAc,0.153,120,0.0,0.03745612
KOPiv,tBPh-CPhos,DMAc,0.153,120,45.01,0.263297159
KOPiv,PCy3 HBF4,DMAc,0.153,120,24.11,0.026484397
KOPiv,PPh3,DMAc,0.153,120,79.1,0.020775005
KOPiv,X-Phos,DMAc,0.153,120,80.39,0.02897608
CsOAc,BrettPhos,DMAc,0.153,120,7.43,0.186631088
CsOAc,PPhtBu2,DMAc,0.153,120,0.51,0.0840523369999999
CsOAc,tBPh-CPhos,DMAc,0.153,120,32.21,0.309855006
CsOAc,PCy3 HBF4,DMAc,0.153,120,18.61,0.073063288
CsOAc,PPh3,DMAc,0.153,120,78.19,0.067367128
CsOAc,X-Phos,DMAc,0.153,120,84.49,0.075582645
